Date,Open,High,Low,Close
26-Nov-18,11052.35,11123.68,10972.4,11112.1
27-Nov-18,11123.8,11178.17,11085.35,11167.34
28-Nov-18,11200.57,11254.63,11193.39,11213.62
29-Nov-18,11300.42,11372.83,11278.56,11350.2
30-Nov-18,11391.39,11421.4,11329.62,11364.07
03-Dec-18,11425.01,11440.46,11348.18,11389.77
04-Dec-18,11403.06,11404.48,11338.44,11369.48
05-Dec-18,11337.38,11340.78,11248.06,11279.1
06-Dec-18,11222.38,11223.84,11076.31,11086.91
07-Dec-18,11143.41,11196.14,11093.49,11180.41
10-Dec-18,11037.84,11046.68,10956.87,10969.21
11-Dec-18,10858.76,11059.06,10817.53,11039.42
12-Dec-18,11075.48,11246.08,11046.69,11232.03
13-Dec-18,11308.06,11340.29,11250.07,11290.31
14-Dec-18,11302.39,11324.45,11255.89,11307.11
17-Dec-18,11354.94,11414.16,11354.94,11402.46
18-Dec-18,11392.28,11430.96,11333.05,11423.46
19-Dec-18,11454.66,11496.19,11442.34,11476.43
20-Dec-18,11427.4,11473.4,11390.79,11459.77
21-Dec-18,11464.65,11474.96,11235.39,11252.38
24-Dec-18,11286.82,11299.84,11148.29,11163
26-Dec-18,11154.58,11240.94,11021.69,11222.37
27-Dec-18,11321.23,11333.83,11264.55,11271.23
28-Dec-18,11305.1,11398.54,11305.1,11363.71
31-Dec-18,11411.84,11432.12,11359.31,11367.43
01-Jan-19,11395.71,11425.11,11310.18,11415.23
02-Jan-19,11390.25,11403.3,11242.81,11290.13
03-Jan-19,11302.53,11324.37,11158.45,11168.3
04-Jan-19,11193.29,11235.32,11124.35,11219.17
07-Jan-19,11310.09,11329.03,11243.68,11257.46
08-Jan-19,11290.46,11314.48,11227.57,11294.31
